"id","response","response_no","plot_location","choice_reason","sample_size","p_value","pic_id","pic_name","experiment","difficulty","gender","beta","sigma","replica"
1,FALSE,18,5,1,100,0.5453,154,"plot_turk2_100_25_5_3.png","turk2",4,1,-0.25,5,3
1,TRUE,7,7,1,300,0.0017,207,"plot_turk2_300_230_12_2.png","turk2",1,1,2.3,12,2
1,TRUE,19,19,1,300,0,196,"plot_turk2_300_150_5_3.png","turk2",0,1,1.5,5,3
1,FALSE,12,13,1,100,0.8014,169,"plot_turk2_100_50_12_3.png","turk2",4,1,-0.5,12,3
1,FALSE,15,17,1,300,0.0839,202,"plot_turk2_300_80_12_3.png","turk2",3,1,-0.8,12,3
1,FALSE,18,13,1,100,0.7565,153,"plot_turk2_100_25_5_2.png","turk2",4,1,-0.25,5,2
1,FALSE,6,1,1,100,0.0539,173,"plot_turk2_100_350_12_1.png","turk2",2,1,3.5,12,1
1,FALSE,10,6,1,100,0.0887,160,"plot_turk2_100_125_5_3.png","turk2",2,1,-1.25,5,3
1,TRUE,11,11,1,300,1e-04,204,"plot_turk2_300_175_12_2.png","turk2",2,1,1.75,12,2
1,FALSE,14,11,1,300,0.108,201,"plot_turk2_300_80_12_2.png","turk2",3,1,0.8,12,2
1,TRUE,20,20,1,300,0,211,"plot_turk2_300_350_12_3.png","turk2",0,1,-3.5,12,3
1,FALSE,10,15,3,100,0.903,157,"plot_turk2_100_75_5_3.png","turk2",3,1,-0.75,5,3
1,TRUE,3,3,1,100,6e-04,161,"plot_turk2_100_175_5_1.png","turk2",1,1,-1.75,5,1
1,TRUE,13,13,1,300,0,210,"plot_turk2_300_350_12_2.png","turk2",0,1,3.5,12,2
1,TRUE,18,18,12,100,0,166,"plot_turk2_100_275_5_3.png","turk2",0,1,2.75,5,3
2,FALSE,18,13,1,100,0.7565,153,"plot_turk2_100_25_5_2.png","turk2",4,1,-0.25,5,2
2,FALSE,11,18,1,100,0.0927,158,"plot_turk2_100_125_5_1.png","turk2",2,1,-1.25,5,1
2,TRUE,10,10,1,300,6e-04,205,"plot_turk2_300_175_12_3.png","turk2",2,1,1.75,12,3
2,TRUE,10,10,1,300,0.0014,208,"plot_turk2_300_230_12_3.png","turk2",1,1,-2.3,12,3
2,FALSE,10,15,1,100,0.903,157,"plot_turk2_100_75_5_3.png","turk2",3,1,-0.75,5,3
2,TRUE,20,20,1,300,0,211,"plot_turk2_300_350_12_3.png","turk2",0,1,-3.5,12,3
2,FALSE,15,17,1,300,0.0839,202,"plot_turk2_300_80_12_3.png","turk2",3,1,-0.8,12,3
2,TRUE,18,18,1,100,0,166,"plot_turk2_100_275_5_3.png","turk2",0,1,2.75,5,3
2,TRUE,13,13,1,300,0,210,"plot_turk2_300_350_12_2.png","turk2",0,1,3.5,12,2
3,FALSE,1,8,1,100,0.1235,156,"plot_turk2_100_75_5_2.png","turk2",3,1,0.75,5,2
3,TRUE,11,11,1,300,0.0012,200,"plot_turk2_300_80_12_1.png","turk2",3,1,0.8,12,1
3,TRUE,10,10,1,300,0.0014,208,"plot_turk2_300_230_12_3.png","turk2",1,1,-2.3,12,3
3,FALSE,18,13,1,100,0.7565,153,"plot_turk2_100_25_5_2.png","turk2",4,1,-0.25,5,2
